trialnum,colourtext,colourname,condition,response,rt,correct
1,red,red,congruent,red,0.362422,True
2,green,blue,incongruent,blue,1.172742,True
3,blue,blue,congruent,blue,0.609797,True
4,blue,red,incongruent,red,0.605839,True
5,red,red,congruent,red,0.476697,True
6,red,red,congruent,red,0.348285,True
7,yellow,red,incongruent,red,0.361970,True
8,yellow,yellow,congruent,yellow,0.572264,True
9,blue,blue,congruent,green,0.933470,False
10,yellow,yellow,congruent,yellow,0.524460,True
11,green,red,incongruent,red,1.115122,True
12,red,blue,incongruent,blue,0.485795,True
13,blue,blue,congruent,blue,0.396413,True
14,blue,yellow,incongruent,yellow,0.621938,True
15,blue,blue,congruent,blue,0.533412,True
16,green,red,incongruent,red,0.493140,True
17,green,green,congruent,green,0.508118,True
18,red,green,incongruent,green,0.429214,True
19,blue,blue,congruent,blue,0.772972,True
20,red,red,congruent,red,0.476962,True
21,red,red,congruent,red,0.373641,True
22,red,yellow,incongruent,yellow,0.693605,True
23,red,green,incongruent,green,0.932549,True
24,blue,blue,congruent,blue,0.524965,True
25,green,yellow,incongruent,yellow,0.501164,True
26,red,red,congruent,red,0.560331,True
27,yellow,yellow,congruent,green,0.597113,False
28,blue,green,incongruent,green,0.788735,True
29,green,red,incongruent,red,0.588681,True
30,green,green,congruent,green,0.772650,True
31,blue,green,incongruent,green,0.429087,True
32,yellow,blue,incongruent,blue,0.683268,True
33,green,yellow,incongruent,yellow,1.131034,True
34,blue,blue,congruent,blue,0.581025,True
35,red,red,congruent,red,0.444601,True
36,green,green,congruent,green,0.939620,True
37,yellow,green,incongruent,green,0.484543,True
38,green,blue,incongruent,blue,0.541169,True
39,red,blue,incongruent,blue,0.373637,True
40,green,red,incongruent,red,0.571011,True
41,green,green,congruent,green,0.716002,True
42,red,red,congruent,red,0.485441,True
43,red,green,incongruent,green,0.645518,True
44,green,blue,incongruent,yellow,0.534303,False
45,red,green,incongruent,green,0.793119,True
46,red,yellow,incongruent,yellow,0.533214,True
47,green,green,congruent,green,0.595362,True
48,yellow,yellow,congruent,yellow,0.555804,True
49,green,yellow,incongruent,yellow,0.507650,True
50,green,green,congruent,green,0.611833,True
51,green,green,congruent,green,0.371635,True
52,red,red,congruent,blue,0.485564,False
53,blue,yellow,incongruent,yellow,0.800065,True
54,red,blue,incongruent,blue,0.677406,True
55,yellow,green,incongruent,green,0.972838,True
56,yellow,blue,incongruent,blue,0.659688,True
57,yellow,red,incongruent,red,0.396331,True
58,blue,yellow,incongruent,yellow,0.988885,True
59,yellow,yellow,congruent,yellow,0.515983,True
60,green,yellow,incongruent,yellow,0.403638,True
61,green,green,congruent,green,0.812137,True
62,blue,red,incongruent,red,0.684282,True
63,red,blue,incongruent,blue,0.940737,True
64,red,red,congruent,blue,0.517652,False
65,yellow,red,incongruent,blue,0.451906,False
66,green,blue,incongruent,green,1.778951,False
67,yellow,yellow,congruent,yellow,1.764451,True
68,yellow,red,incongruent,red,0.578882,True
69,green,blue,incongruent,blue,0.707832,True
70,green,green,congruent,green,0.557715,True
71,blue,blue,congruent,blue,0.428182,True
72,blue,yellow,incongruent,yellow,0.988233,True
73,red,blue,incongruent,blue,1.518759,True
74,yellow,yellow,congruent,yellow,0.643342,True
75,green,green,congruent,green,0.604541,True
76,green,green,congruent,green,0.420440,True
77,yellow,yellow,congruent,yellow,0.596521,True
78,yellow,yellow,congruent,yellow,0.372050,True
79,green,yellow,incongruent,yellow,0.362963,True
80,yellow,green,incongruent,green,0.691494,True
81,red,yellow,incongruent,yellow,0.781194,True
82,yellow,yellow,congruent,yellow,0.406195,True
83,yellow,green,incongruent,green,0.805113,True
84,blue,red,incongruent,red,0.620708,True
85,yellow,blue,incongruent,blue,0.492864,True
86,blue,blue,congruent,blue,0.445942,True
87,green,green,congruent,green,0.587457,True
88,yellow,yellow,congruent,yellow,0.500349,True
89,red,yellow,incongruent,yellow,0.413778,True
90,red,red,congruent,red,0.533813,True
91,blue,blue,congruent,blue,1.037566,True
92,green,red,incongruent,red,0.876050,True
93,yellow,yellow,congruent,yellow,0.820584,True
94,blue,green,incongruent,green,0.805409,True
95,blue,blue,congruent,blue,1.038099,True
96,blue,blue,congruent,blue,0.492971,True
97,blue,blue,congruent,blue,0.380949,True
98,blue,blue,congruent,blue,0.370415,True
99,yellow,blue,incongruent,blue,0.356354,True
100,green,green,congruent,green,0.691170,True
101,red,red,congruent,red,0.549814,True
102,blue,blue,congruent,blue,1.325547,True
103,yellow,yellow,congruent,yellow,0.620811,True
104,blue,red,incongruent,red,0.557947,True
105,yellow,blue,incongruent,blue,0.683949,True
106,red,red,congruent,red,0.502286,True
107,red,green,incongruent,green,0.445009,True
108,blue,green,incongruent,green,0.427956,True
109,blue,yellow,incongruent,yellow,0.693328,True
110,green,green,congruent,green,1.397633,True
111,yellow,yellow,congruent,yellow,0.524487,True
112,red,yellow,incongruent,yellow,0.917879,True
113,yellow,green,incongruent,green,0.965092,True
114,yellow,yellow,congruent,yellow,0.475525,True
115,yellow,red,incongruent,red,0.682584,True
116,red,red,congruent,red,0.462847,True
117,red,red,congruent,red,0.423610,True
118,blue,green,incongruent,green,1.149959,True
119,green,green,congruent,green,0.549071,True
120,blue,red,incongruent,red,0.719659,True
